nome;kcal;proteine;carboidrati;grassi
Acciuga o alice;96;16,8;1,5;2,6
"Acciuga o alice, sotto sale";137;25;2,3;3,1
"Acciuga o alice, sott'olio";206;25,9;0,2;11,3
Aglio;53;8,4;1;0,8
Aglio Bianco Piacentino;47;7,2;0,9;0,6
Aglio Rosso di Castelliri;52;8,9;1,02;0,5
Aglio Rosso di Procerno;57;8,9;1;0,9
Aglio Rosso di Sulmona;58;8,7;1;1,3
"Agnello, coscio, cotto, al forno";118;23;;2,9
"Agnello, coscio, crudo";102;20;;2,5
"Agnello, costoletta, cotto, al forno";118;22,7;;3
"Agnello, costoletta, crudo";106;20,4;;2,7
"Agnello, cotto, al forno";199;25;;11
"Agnello, crudo";159;20;;8,8
"Agretti, cotti, bolliti";25;2,1;2,6;0,2
"Agretti, crudi";22;1,8;2,2;0,2
"Albicocche, disidratate";356;5,6;80,6;1
"Albicocche, fresche";42;0,4;9,8;0,1
"Albicocche, sciroppate";65;0,4;16,1;0,1
"Albicocche, secche";286;5;66,5;0,5
Alici al forno;172;18,2;7,1;8
Alici marinate;120;14,2;1,4;6,4
"Amarene, fresche";44;0,8;10,2;tr
Anacardi;604;15;33;46
"Ananas, fresco";42;0,5;10;
"Ananas, sciroppato";66;0,5;16,6;
"Anatra domestica, crudo";159;21,4;;8,2
"Anguilla d'allevamento, filetti";237;16,2;0,5;18,9
Anguilla di fiume;261;11,8;0,1;23,7
Anguilla di mare;237;14,6;0,7;19,6
"Anguilla, affumicata";231;17,5;0,2;17,8
"Anguilla, marinata";259;14,8;0,6;21,9
Animelle di bovino;304;11,5;0,1;28,6
"Animelle di bovino, cotte";434;16,4;0,2;40,9
"Anona, fresca";73;1,8;15,8;0,2
Aperitivi a base di vino;186;tr;17;
"Arachidi, tostate";620;29;8,5;50
Aragosta;85;16;1;1,9
"Aragosta, bollita";86;16,2;1;1,9
"Arance bionde succo, fresco";38;0,5;9,6;tr
"Arance bionde, fresche";45;0,7;9,9;0,2
"Arance Moro, fresche";42;0,7;9;0,2
"Arance rosse succo, fresco";39;0,5;9,8;tr
"Arance rosse, fresche";45;0,7;9,9;0,2
"Arance Sanguinello, fresche";47;0,7;10,6;0,1
"Arance succo, fresco";33;0,5;8,2;tr
"Arance Tarocco, fresche";45;0,7;10;0,2
"Arance Valencia, fresche";39;0,7;8;0,3
"Arance Washington Navel, fresche";44;1;9,4;0,2
"Arance, fresche";37;0,7;7,8;0,2
Aranciata;38;0,1;10;
Aringa;216;16,5;;16,7
"Aringa, affumicata";194;19,9;;12,7
"Aringa, marinata";199;18,3;;14
"Aringa, sotto sale";218;19,8;;15,4
"Asparagi di bosco, crudi";40;4,6;4;0,2
"Asparagi di campo, cotti, bolliti";34;3,8;3,4;0,2
"Asparagi di campo, crudi";33;3,6;3,3;0,2
"Asparagi di serra, crudi";28;3;3;0,1
"Avocado, fresco";238;4,4;1,8;23
Baba' al rhum;288;5,9;41,2;5,7
"Babaco, fresco";24;0,7;4,5;0,2
Baccalà alla vicentina;520;21,5;0,3;47,9
"Banane, fresche";76;1,2;17,4;0,3
"Barbabietole rosse, cotte, bollite";43;2,1;7,8;tr
"Barbabietole rosse, crude";25;1,1;4;tr
Barretta al cocco ricoperta di cioccolato;472;4,8;58,2;26,1
"Basilico, fresco";42;3,1;5,2;0,8
Bastoncini di crusca di frumento;301;14;38,4;3,2
Besciamella;139;3,9;9,5;9,5
Bevanda tipo cola;39;tr;10,5;
"Bieta, cotta, al microonde";15;1,3;1,8;0,1
"Bieta, cotta, bollita";18;1,5;2,1;0,1
"Bieta, cruda";15;1,3;1,8;0,1
Birra chiara;34;0,2;3,5;
"Biscotti, alla soia";375;11,5;70,8;6,1
"Biscotti, frollini";426;7,2;71,7;13,8
"Biscotti, integrali";419;7,8;70,8;12,3
"Biscotti, integrali, con soia";464;11,5;60,4;20,4
"Biscotti, secchi";404;6,6;80,4;7,9
"Biscotti, wafers";452;7,1;76,2;15
Boga;87;18,3;0,8;1,2
"Bottarga, cefalo muggine";405;43,5;;25,7
"Bovino adulto o vitellone, copertina di sotto, copertina di spalla, sottospalla e collo, crudo";132;20,3;;5,7
"Bovino adulto o vitellone, costata, crudo";140;21,3;;6,1
"Bovino adulto o vitellone, fesa, crudo";103;21,8;;1,8
"Bovino adulto o vitellone, filetto, crudo";127;20,5;;5
"Bovino adulto o vitellone, geretto anteriore e posteriore, crudo";112;20,9;;3,2
"Bovino adulto o vitellone, girello, crudo";110;21,3;;2,8
"Bovino adulto o vitellone, lombata, crudo";134;21,8;;5,2
"Bovino adulto o vitellone, noce, crudo";106;21,3;;2,3
"Bovino adulto o vitellone, pancia, biancostato e punta di petto, crudo";171;19,7;;10,2
"Bovino adulto o vitellone, scamone, crudo";119;21,4;;3,7
"Bovino adulto o vitellone, sottofesa, crudo";111;22;;2,6
"Bovino adulto o vitellone, spalla, muscolo, girello e fesone, crudo";108;21,5;;2,4
"Bovino adulto o vitellone, tagli anteriori, crudo";145;20,5;;7
"Bovino adulto o vitellone, tagli posteriori, crudo";117;21,5;;3,4
Brandy;230;tr;tr;
Brasato al Barolo;108;13,8;0,3;5,6
Bresaola della Valtellina IGP;152;33,1;0,4;2
Brie;320;19,3;0,2;26,9
"Broccoletti di rapa, cotti, bolliti";29;3,1;2,1;0,3
"Broccoletti di rapa, crudi";28;2,9;2;0,3
"Broccolo a testa, cotto, bollito";34;3,1;3,2;0,4
"Broccolo a testa, crudo";33;3;3,1;0,4
"Bufalo, solo tessuto muscolare, crudo";98;22;;1,1
Burrini;527;22,1;4,1;47
Burro;758;0,8;1,1;83,4
Burro d'arachidi;625;24,9;8;53,7
Butirro calabro;449;24,7;0,3;38,8
"Cacao amaro, in polvere";355;20,4;11,5;25,6
Caciocavallo;431;35,7;2,3;31,1
Cacioricotta di capra;182;11,9;1,5;14,3
Caciotta mista;384;24,5;1,8;31
Caciotta romana di pecora;364;27,7;2,1;27,3
Caciotta toscana;368;24,6;0,8;29,6
Caciottina fresca;263;17,3;0,5;21,3
Caciottina mista;370;26,9;1,5;28,5
Caciottina vaccina;324;21,1;3;25,4
Caffe' tostato;287;10,4;28,5;15,4
Calamaro;68;12,6;0,6;1,7
Calamaro surgelato;68;13,1;0,6;1,5
Camembert;307;20,9;0,2;24,7
Canditi;292;0,5;75;
"Cannoli alla crema, industriale";368;6,2;41,9;20,7
Cannoli siciliani;325;7,2;42,7;14,6
Capitone;247;13;0,5;21,5
Capocollo;450;20,8;1,4;40,2
Capocollo di Calabria;344;29,1;0,9;24,9
"Capra, solo tessuto muscolare, crudo";106;21,2;;2,3
"Capretto, crudo";113;19,2;;4
Caramelle dure;344;tr;91,6;
"Caramelle tipo ""mou""";430;2,1;71,1;17,2
Carciofi alla romana;85;2,2;1,8;5,9
"Carciofi, cotti, al microonde";34;2,8;2,5;0,2
"Carciofi, cotti, bolliti";44;3,6;3,3;0,3
"Carciofi, crudi";33;2,7;2,5;0,2
"Carciofi, surgelati";32;2,7;2,5;0,2
Carciofo Romanesco IGP;48;3;6,1;0,2
"Carciofo, Spinoso sardo";45;1,9;8,9;0,2
"Carciofo, verde, precoce";45;2,9;5,4;0,2
"Carciofo, violetto, precoce";43;2,8;5,2;0,2
"Cardi, cotti, bolliti";22;1;2,9;0,2
"Cardi, crudi";13;0,6;1,7;0,1
"Carne bovina in gelatina, in scatola";67;12,6;;1,8
"Carne bovina pressata, in scatola";141;16,5;;8,3
"Carote, cotte, al microonde";41;1,1;7,7;0,2
"Carote, cotte, bollite";47;1,3;8,7;0,2
"Carote, crude";41;1,1;7,6;0,2
Carpa;139;18,9;;7,1
Carrube;253;3,3;49,9;0,7
Castagnaccio;234;3,4;39,3;6,8
Castagne;174;2,9;36,7;1,7
